episode,timestep,reward,length,score,pg_loss,v_loss
1,33,2.20,33,0,0.0000,0.0000
2,83,3.90,50,0,0.0000,0.0000
3,133,3.90,50,0,0.0000,0.0000
4,184,4.00,51,0,0.0000,0.0000
5,234,0.30,50,0,0.0000,0.0000
6,288,4.30,54,0,0.0000,0.0000
7,338,-2.10,50,0,0.0000,0.0000
8,397,4.80,59,0,0.0000,0.0000
9,447,3.90,50,0,0.0000,0.0000
10,497,3.30,50,0,0.0000,0.0000
11,547,2.10,50,0,0.0000,0.0000
12,597,3.30,50,0,0.0000,0.0000
13,649,4.10,52,0,0.0000,0.0000
14,699,3.90,50,0,0.0000,0.0000
15,749,3.90,50,0,0.0000,0.0000
16,799,3.90,50,0,0.0000,0.0000
17,849,3.90,50,0,0.0000,0.0000
18,899,3.90,50,0,0.0000,0.0000
19,949,3.90,50,0,0.0000,0.0000
20,999,0.30,50,0,0.0000,0.0000
21,1050,4.00,51,0,0.0000,0.0000
22,1100,-0.30,50,0,0.0000,0.0000
23,1150,-2.70,50,0,0.0000,0.0000
24,1200,-3.90,50,0,0.0000,0.0000
25,1251,4.00,51,0,0.0000,0.0000
26,1301,-1.50,50,0,0.0000,0.0000
27,1351,3.90,50,0,0.0000,0.0000
28,1401,3.90,50,0,0.0000,0.0000
29,1451,0.90,50,0,0.0000,0.0000
30,1501,3.90,50,0,0.0000,0.0000
31,1551,3.90,50,0,0.0000,0.0000
32,1601,3.90,50,0,0.0000,0.0000
33,1651,3.90,50,0,0.0000,0.0000
34,1695,3.30,44,0,0.0000,0.0000
35,1745,3.90,50,0,0.0000,0.0000
36,1795,3.90,50,0,0.0000,0.0000
37,1845,-0.30,50,0,0.0000,0.0000
38,1895,3.90,50,0,0.0000,0.0000
39,1945,-0.30,50,0,0.0000,0.0000
40,2004,4.80,59,0,0.0000,0.0000
41,2065,5.00,61,1,-0.0112,1.4952
42,2115,3.90,50,0,-0.0112,1.4952
43,2146,2.00,31,0,-0.0112,1.4952
44,2177,2.00,31,0,-0.0112,1.4952
45,2208,2.00,31,0,-0.0112,1.4952
46,2239,2.00,31,0,-0.0112,1.4952
47,2289,3.90,50,0,-0.0112,1.4952
48,2345,4.50,56,0,-0.0112,1.4952
49,2395,3.90,50,0,-0.0112,1.4952
50,2426,2.00,31,0,-0.0112,1.4952
51,2480,4.30,54,0,-0.0112,1.4952
52,2530,3.90,50,0,-0.0112,1.4952
53,2561,2.00,31,0,-0.0112,1.4952
54,2611,3.90,50,0,-0.0112,1.4952
55,2661,3.90,50,0,-0.0112,1.4952
56,2692,2.00,31,0,-0.0112,1.4952
57,2723,2.00,31,0,-0.0112,1.4952
58,2774,4.00,51,0,-0.0112,1.4952
59,2805,2.00,31,0,-0.0112,1.4952
60,2855,3.90,50,0,-0.0112,1.4952
61,2905,3.90,50,0,-0.0112,1.4952
62,2936,2.00,31,0,-0.0112,1.4952
63,2996,4.90,60,0,-0.0112,1.4952
64,3027,2.00,31,0,-0.0112,1.4952
65,3085,4.70,58,0,-0.0112,1.4952
66,3122,2.60,37,0,-0.0112,1.4952
67,3153,2.00,31,0,-0.0112,1.4952
68,3184,2.00,31,0,-0.0112,1.4952
69,3239,4.40,55,0,-0.0112,1.4952
70,3270,2.00,31,0,-0.0112,1.4952
71,3334,6.20,64,1,-0.0112,1.4952
72,3365,2.00,31,0,-0.0112,1.4952
73,3415,3.90,50,0,-0.0112,1.4952
74,3446,2.00,31,0,-0.0112,1.4952
75,3496,3.90,50,0,-0.0112,1.4952
76,3556,4.90,60,0,-0.0112,1.4952
77,3589,2.20,33,0,-0.0112,1.4952
78,3639,3.90,50,0,-0.0112,1.4952
79,3670,2.00,31,0,-0.0112,1.4952
80,3710,2.90,40,0,-0.0112,1.4952
81,3760,3.90,50,0,-0.0112,1.4952
82,3791,2.00,31,0,-0.0112,1.4952
83,3841,3.90,50,0,-0.0112,1.4952
84,3897,4.50,56,0,-0.0112,1.4952
85,3928,2.00,31,0,-0.0112,1.4952
86,3978,3.90,50,0,-0.0112,1.4952
87,4009,2.00,31,0,-0.0112,1.4952
88,4059,3.90,50,0,-0.0112,1.4952
89,4109,3.90,50,0,-0.0091,0.6729
90,4159,3.90,50,0,-0.0091,0.6729
91,4209,3.90,50,0,-0.0091,0.6729
92,4263,4.30,54,0,-0.0091,0.6729
93,4313,3.90,50,0,-0.0091,0.6729
94,4363,3.90,50,0,-0.0091,0.6729
95,4413,3.90,50,0,-0.0091,0.6729
96,4465,4.10,52,0,-0.0091,0.6729
97,4515,3.90,50,0,-0.0091,0.6729
98,4565,3.90,50,0,-0.0091,0.6729
99,4615,3.90,50,0,-0.0091,0.6729
100,4665,3.90,50,0,-0.0091,0.6729
101,4715,3.90,50,0,-0.0091,0.6729
102,4765,3.90,50,0,-0.0091,0.6729
103,4815,3.90,50,0,-0.0091,0.6729
104,4865,3.90,50,0,-0.0091,0.6729
105,4915,3.90,50,0,-0.0091,0.6729
106,4969,4.30,54,0,-0.0091,0.6729
